ncodpers,added_products
657788,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_ecue_fin_ult1
657794,ind_tjcr_fin_ult1 ind_recibo_ult1 ind_reca_fin_ult1 ind_ctpp_fin_ult1 ind_fond_fin_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1
657770,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_reca_fin_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
658056,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_fond_fin_ult1 ind_ecue_fin_ult1
657869,ind_recibo_ult1 ind_dela_fin_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
657336,ind_recibo_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1
657284,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_ecue_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1
657382,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_cno_fin_ult1 ind_dela_fin_ult1
657530,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_dela_fin_ult1 ind_reca_fin_ult1 ind_ecue_fin_ult1 ind_valo_fin_ult1 ind_fond_fin_ult1
657611,ind_reca_fin_ult1 ind_nom_pens_ult1 ind_nomina_ult1 ind_tjcr_fin_ult1 ind_cno_fin_ult1 ind_ecue_fin_ult1 ind_ctpp_fin_ult1
657479,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_fond_fin_ult1 ind_ctpp_fin_ult1 ind_nomina_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1
658724,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1 ind_nomina_ult1
658743,ind_recibo_ult1 ind_tjcr_fin_ult1 ind_reca_fin_ult1 ind_nom_pens_ult1 ind_cno_fin_ult1 ind_ctpp_fin_ult1 ind_ecue_fin_ult1
